Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä - Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana
su 6 tammi 2019 16:00;9;9;10;8;18;0;9;7;6;22;13;3;2;20;11;14;;8;6;19
su 6 tammi 2019 17:00;16;6;8;7;21;0;7;8;5;28;10;8;6;23;23;6;;11;8;20
su 6 tammi 2019 18:00;4;7;6;7;15;1;9;3;3;28;13;7;3;20;20;7;;9;9;16
su 6 tammi 2019 19:00;9;0;6;3;18;1;8;5;2;18;11;5;3;19;19;11;;10;3;11
su 6 tammi 2019 20:00;6;0;7;5;14;0;6;6;3;22;13;11;3;17;9;4;;5;3;10
su 6 tammi 2019 21:00;1;3;3;0;16;0;4;3;3;6;5;5;1;4;10;4;;5;2;8
su 6 tammi 2019 22:00;3;0;2;0;10;0;2;1;3;3;4;6;4;8;4;3;;4;4;6
su 6 tammi 2019 23:00;1;2;1;0;2;0;0;1;3;0;0;2;0;4;1;0;;1;0;2
ma 7 tammi 2019 00:00;0;0;1;1;2;0;6;0;0;2;0;0;0;1;1;1;;0;0;1
ma 7 tammi 2019 01:00;0;0;0;0;0;0;1;0;1;4;1;0;0;0;4;1;;0;1;0
ma 7 tammi 2019 02:00;0;3;1;0;0;0;0;1;0;1;1;0;0;1;1;1;;0;0;0
ma 7 tammi 2019 03:00;1;0;2;2;0;0;1;0;0;1;0;0;0;1;0;0;;0;0;0
ma 7 tammi 2019 04:00;0;0;5;2;3;4;2;1;1;1;1;0;0;0;1;0;;6;6;2
ma 7 tammi 2019 05:00;1;0;5;4;5;2;8;2;7;12;3;4;1;7;2;9;;5;1;14
ma 7 tammi 2019 06:00;17;4;43;18;24;9;24;26;39;49;25;20;6;24;15;4;;63;11;33
ma 7 tammi 2019 07:00;86;15;125;54;48;13;69;43;95;166;88;77;29;91;42;5;;149;49;112
ma 7 tammi 2019 08:00;115;32;117;98;68;19;92;80;83;248;102;110;32;180;62;15;;155;87;188
ma 7 tammi 2019 09:00;47;32;38;37;69;14;41;50;31;117;58;64;18;97;58;16;;48;30;121
ma 7 tammi 2019 10:00;13;8;6;17;29;4;16;12;9;39;17;18;9;30;22;22;;12;4;36
ma 7 tammi 2019 11:00;9;7;9;10;20;3;18;11;4;24;11;9;9;17;25;14;;9;7;23
ma 7 tammi 2019 12:00;7;7;2;16;27;4;10;12;8;16;14;10;7;20;33;12;;12;5;22
ma 7 tammi 2019 13:00;9;8;9;11;20;3;11;9;11;33;13;9;8;36;30;10;;18;6;36
ma 7 tammi 2019 14:00;14;14;20;16;35;7;15;9;18;44;21;14;6;41;18;13;;30;10;35
ma 7 tammi 2019 15:00;45;22;58;37;69;10;34;35;34;75;53;48;29;83;55;22;;81;29;95
ma 7 tammi 2019 16:00;87;26;117;72;102;17;68;56;75;180;98;81;42;113;77;23;;121;58;144
ma 7 tammi 2019 17:00;65;35;79;60;106;22;55;56;91;178;73;101;24;85;89;25;;117;46;118
ma 7 tammi 2019 18:00;39;28;59;27;72;14;30;30;37;106;58;54;17;82;61;24;;66;44;80
ma 7 tammi 2019 19:00;15;14;16;16;41;6;17;18;21;52;25;29;9;40;22;19;;28;17;29
ma 7 tammi 2019 20:00;13;10;15;11;26;5;11;12;14;39;16;19;3;21;15;10;;21;18;27
ma 7 tammi 2019 21:00;3;4;9;2;21;1;14;14;8;33;10;14;4;10;17;6;;13;5;13
ma 7 tammi 2019 22:00;3;3;4;0;7;1;5;3;7;9;5;4;1;15;4;5;;7;11;11
ma 7 tammi 2019 23:00;0;0;1;3;3;0;1;4;3;5;3;1;0;3;2;1;;2;10;2
ti 8 tammi 2019 00:00;0;0;0;1;3;0;2;2;1;0;0;1;0;5;1;0;;2;1;1
ti 8 tammi 2019 01:00;0;0;0;0;1;0;0;0;1;3;0;0;0;1;1;1;;0;7;0
ti 8 tammi 2019 02:00;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;;1;1;1
ti 8 tammi 2019 03:00;0;0;1;0;1;0;0;0;1;1;0;0;0;2;0;0;;1;7;0
ti 8 tammi 2019 04:00;0;0;5;0;0;1;2;0;1;0;1;0;0;0;0;2;;3;1;2
ti 8 tammi 2019 05:00;1;0;9;3;7;6;3;3;10;14;3;3;3;4;6;3;;9;6;16
ti 8 tammi 2019 06:00;11;2;43;14;20;6;30;15;31;46;19;20;4;33;14;6;;51;29;43
ti 8 tammi 2019 07:00;63;9;83;40;45;10;52;54;77;117;70;71;16;60;34;12;;102;27;95
ti 8 tammi 2019 08:00;89;27;82;62;56;11;55;70;76;222;86;109;23;122;55;13;;113;54;150
ti 8 tammi 2019 09:00;42;18;38;41;47;15;27;38;32;98;42;45;23;86;40;17;;42;15;97
ti 8 tammi 2019 10:00;26;4;11;17;26;1;10;16;14;40;9;16;3;39;25;9;;16;4;31
ti 8 tammi 2019 11:00;8;3;8;13;30;2;9;9;12;22;7;7;2;20;17;17;;18;8;25
ti 8 tammi 2019 12:00;6;4;2;13;25;1;9;10;16;33;16;11;5;32;21;12;;17;6;16
ti 8 tammi 2019 13:00;9;7;11;12;23;1;12;9;12;21;8;9;5;25;23;18;;23;8;21
ti 8 tammi 2019 14:00;7;13;17;12;30;3;13;12;10;40;9;4;4;25;25;8;;16;13;40
ti 8 tammi 2019 15:00;21;26;44;23;51;13;33;37;31;81;45;44;15;72;34;23;;58;15;75
ti 8 tammi 2019 16:00;59;28;88;54;69;14;54;54;60;135;67;64;42;87;50;19;;93;30;110
ti 8 tammi 2019 17:00;59;31;67;47;70;10;36;41;48;117;59;70;15;73;49;22;;68;22;90
ti 8 tammi 2019 18:00;34;15;40;25;51;8;25;28;32;87;36;34;13;46;42;17;;50;24;70
ti 8 tammi 2019 19:00;6;14;11;20;24;5;16;9;16;53;22;28;8;29;26;17;;19;20;36
ti 8 tammi 2019 20:00;8;10;14;10;26;3;15;6;13;30;12;11;3;48;16;10;;14;20;26
ti 8 tammi 2019 21:00;9;2;9;2;19;1;4;4;8;24;8;11;2;23;19;14;;13;13;22
ti 8 tammi 2019 22:00;0;4;1;0;10;1;4;2;7;16;4;4;2;14;6;6;;8;10;8
ti 8 tammi 2019 23:00;0;1;0;2;3;1;2;4;0;3;0;0;3;7;1;1;;1;8;3
ke 9 tammi 2019 00:00;2;1;0;1;2;0;0;2;0;2;0;0;0;5;2;2;;0;10;1
ke 9 tammi 2019 01:00;0;0;1;0;1;0;1;0;0;1;0;0;0;2;0;2;;1;0;1
ke 9 tammi 2019 02:00;0;0;0;1;0;0;0;1;2;1;0;1;2;0;0;2;;0;1;0
ke 9 tammi 2019 03:00;0;1;8;0;2;0;0;0;0;0;0;0;0;2;1;0;;1;1;1
ke 9 tammi 2019 04:00;0;1;3;3;2;2;4;0;3;1;0;0;0;6;1;0;;3;14;1
ke 9 tammi 2019 05:00;0;0;8;2;0;2;1;3;8;5;2;2;1;5;5;0;;9;5;0
ke 9 tammi 2019 06:00;10;2;36;12;19;3;27;12;35;36;10;20;8;23;15;8;;56;13;0
ke 9 tammi 2019 07:00;55;9;86;35;44;7;35;44;66;112;64;69;25;66;40;9;;105;27;85
ke 9 tammi 2019 08:00;80;26;75;49;65;8;51;69;59;173;65;94;26;129;66;14;;108;31;135
ke 9 tammi 2019 09:00;35;18;32;21;49;8;25;50;19;100;33;41;10;74;34;16;;37;13;85
ke 9 tammi 2019 10:00;13;10;13;15;30;0;12;16;11;26;17;11;4;28;26;13;;19;4;28
ke 9 tammi 2019 11:00;13;10;6;13;24;2;4;10;7;35;11;9;2;20;15;8;;19;4;26
ke 9 tammi 2019 12:00;14;9;6;7;16;1;7;11;14;35;4;6;4;33;25;8;;21;4;17
ke 9 tammi 2019 13:00;11;9;8;14;23;3;13;20;5;18;13;3;7;20;22;8;;13;12;18
ke 9 tammi 2019 14:00;9;6;13;13;25;6;11;13;12;32;14;8;12;37;20;11;;24;11;37
ke 9 tammi 2019 15:00;29;16;45;25;59;7;24;36;34;70;34;43;21;64;42;17;;64;14;73
ke 9 tammi 2019 16:00;60;26;53;39;65;12;50;48;55;190;58;52;32;86;80;17;;83;14;126
ke 9 tammi 2019 17:00;54;23;68;42;91;9;28;43;46;141;39;72;21;58;49;18;;61;18;78
ke 9 tammi 2019 18:00;31;9;38;29;52;8;21;23;19;92;38;30;15;53;33;7;;36;17;51
ke 9 tammi 2019 19:00;22;4;15;16;29;5;10;19;21;78;22;38;5;29;28;12;;27;7;39
ke 9 tammi 2019 20:00;2;8;20;10;19;7;8;14;16;48;10;17;2;24;22;8;;20;2;23
